Unnamed: 0,Efficacy,Coverage,Median Infected Passengers,Median Infected Crew,Percentage Averted,Total infections averted
2029,0.8163265306122448,0.5918367346938775,97.35969954058586,24.864574567165327,0.9153085532286079,1320.9471294658774
2030,0.8163265306122448,0.6122448979591836,87.14460047376946,21.624069715492304,0.9246321885813943,1334.402733384367
2031,0.8163265306122448,0.6326530612244897,77.7982546019135,18.741623826631333,0.9331057432336245,1346.6315251450837
2032,0.8163265306122448,0.6530612244897959,69.35295404890246,16.1855121873321,0.9407288240160376,1357.632937337394
2033,0.8163265306122448,0.673469387755102,61.70145959210453,13.935948394743162,0.9475894493200517,1367.533995586781
2034,0.8163265306122448,0.6938775510204082,54.73397772401644,11.966343384760968,0.953782121137093,1376.4710824648512
2035,0.8163265306122448,0.7142857142857142,48.4044904075363,10.233271398023374,0.9593688167182645,1384.533641768069
2036,0.8163265306122448,0.7346938775510203,42.66878962612751,8.713599069713617,0.964396198144859,1391.7890148777874
2037,0.8163265306122448,0.7551020408163265,37.48453286235852,7.374302495448736,0.9689164881962556,1398.3125682158213
2038,0.8163265306122448,0.7755102040816326,32.76767066677398,6.203200702341137,0.972996366701409,1404.2005322045134
2039,0.8163265306122448,0.7959183673469387,28.555507282351915,5.211559982810645,0.9766021782433137,1409.404336308466
2040,0.8163265306122448,0.8163265306122448,24.79305556547285,4.373206135355825,0.9797901610102541,1414.0051418727999
2041,0.8163265306122448,0.836734693877551,21.432004290679956,3.644646791621393,0.9826239274003035,1418.0947524913272
2042,0.8163265306122448,0.8571428571428571,18.47517450461639,3.015345911390963,0.9851088232743582,1421.6808831576213
2043,0.8163265306122448,0.8775510204081632,15.86500775440765,2.4756788969491414,0.9872914010034144,1424.830716922272
2044,0.8163265306122448,0.8979591836734693,13.52904769328442,2.0109883695332087,0.989232023289585,1427.631367510811
2045,0.8163265306122448,0.9183673469387754,11.46858600286535,1.616999263482041,0.9909327573745264,1430.0858183072812
2046,0.8163265306122448,0.9387755102040816,9.635297098212284,1.2884203754598664,0.9924307553166433,1432.2476860999564
2047,0.8163265306122448,0.9591836734693876,8.020879084955054,1.0174643342075704,0.993737165663911,1434.133060154466
2048,0.8163265306122448,0.979591836734694,6.659352946269584,0.8003241375642005,0.9948310525933636,1435.7117264897947
2049,0.8163265306122448,1.0,5.499955373538146,0.6180388380279283,0.9957607293240315,1437.0534093620624
2050,0.836734693877551,0.0,996.0172956572094,447.1541079164193,0.0,0.0
2051,0.836734693877551,0.0204081632653061,939.5761232966366,417.8451875645713,0.05941781586032224,85.75009271242061
2052,0.836734693877551,0.0408163265306122,885.0351158730102,389.53681999956893,0.11682567107660102,168.59946770104943
2053,0.836734693877551,0.0612244897959183,832.427660692507,362.28618721547167,0.17216080851547588,248.45755566565003
